name,numberOfCores,memoryInMB
"Basic_A0",1,0.75
"Basic_A1",1,1.75
"Basic_A2",2,3.5
"Basic_A3",4,7
"Basic_A4",8,14
"Standard_A0",1,0.75
"Standard_A1",1,1.75
"Standard_A1_v2",1,2
"Standard_A2",2,3.5
"Standard_A2_v2",2,4
"Standard_A3",4,7
"Standard_A4",8,14
"Standard_A4_v2",4,8
"Standard_A4m_v2",4,32
"Standard_A5",2,14
"Standard_A6",4,28
"Standard_A7",8,56
"Standard_A8m_v2",8,64
"Standard_B12ms",12,48
"Standard_B16ms",16,64
"Standard_B1ls",1,0.5
"Standard_B1ms",1,2
"Standard_B1s",1,1
"Standard_B20ms",20,80
"Standard_B2ms",2,8
"Standard_B2s",2,4
"Standard_B4ms",4,16
"Standard_B8ms",8,32
"Standard_D1",1,3.5
"Standard_D1_v2",1,3.5
"Standard_D11",2,14
"Standard_D11_v2",2,14
"Standard_D12",4,28
"Standard_D12_v2",4,28
"Standard_D13",8,56
"Standard_D13_v2",8,56
"Standard_D14",16,112
"Standard_D14_v2",16,112
"Standard_D15_v2",20,140
"Standard_D16_v3",16,64
"Standard_D16_v4",16,64
"Standard_D16_v5",16,64
"Standard_D16a_v4",16,64
"Standard_D16ads_v5",16,64
"Standard_D16as_v4",16,64
"Standard_D16as_v5",16,64
"Standard_D16d_v4",16,64
"Standard_D16d_v5",16,64
"Standard_D16ds_v4",16,64
"Standard_D16ds_v5",16,64
"Standard_D16pds_v5",16,64
"Standard_D16plds_v5",16,32
"Standard_D16pls_v5",16,32
"Standard_D16ps_v5",16,64
"Standard_D16s_v3",16,64
"Standard_D16s_v4",16,64
"Standard_D16s_v5",16,64
"Standard_D2",2,7
"Standard_D2_v2",2,7
"Standard_D2_v3",2,8
"Standard_D2_v4",2,8
"Standard_D2_v5",2,8
"Standard_D2a_v4",2,8
"Standard_D2ads_v5",2,8
"Standard_D2as_v4",2,8
"Standard_D2as_v5",2,8
"Standard_D2d_v4",2,8
"Standard_D2d_v5",2,8
"Standard_D2ds_v4",2,8
"Standard_D2ds_v5",2,8
"Standard_D2pds_v5",2,8
"Standard_D2plds_v5",2,4
"Standard_D2ps_v5",2,8
"Standard_D2s_v3",2,8
"Standard_D2s_v4",2,8
"Standard_D2s_v5",2,8
"Standard_D3",4,14
"Standard_D3_v2",4,14
"Standard_D32_v3",32,128
"Standard_D32_v4",32,128
"Standard_D32_v5",32,128
"Standard_D32a_v4",32,128
"Standard_D32ads_v5",32,128
"Standard_D32as_v4",32,128
"Standard_D32as_v5",32,128
"Standard_D32d_v4",32,128
"Standard_D32d_v5",32,128
"Standard_D32ds_v4",32,128
"Standard_D32ds_v5",32,128
"Standard_D32pds_v5",32,128
"Standard_D32plds_v5",32,64
"Standard_D32pls_v5",32,64
"Standard_D32ps_v5",32,128
"Standard_D32s_v3",32,128
"Standard_D32s_v4",32,128
"Standard_D32s_v5",32,128
"Standard_D4",8,28
"Standard_D4_v2",8,28
"Standard_D4_v3",4,16
"Standard_D4_v4",4,16
"Standard_D4_v5",4,16
"Standard_D48_v3",48,192
"Standard_D48_v4",48,192
"Standard_D48_v5",48,192
"Standard_D48a_v4",48,192
"Standard_D48ads_v5",48,192
"Standard_D48as_v4",48,192
"Standard_D48as_v5",48,192
"Standard_D48d_v4",48,192
"Standard_D48d_v5",48,192
"Standard_D48ds_v4",48,192
"Standard_D48ds_v5",48,192
"Standard_D48pds_v5",48,192
"Standard_D48plds_v5",48,96
"Standard_D48pls_v5",48,96
"Standard_D48ps_v5",48,192
"Standard_D48s_v3",48,192
"Standard_D48s_v4",48,192
"Standard_D48s_v5",48,192
"Standard_D4a_v4",4,16
"Standard_D4ads_v5",4,16
"Standard_D4as_v4",4,16
"Standard_D4as_v5",4,16
"Standard_D4d_v4",4,16
"Standard_D4d_v5",4,16
"Standard_D4ds_v4",4,16
"Standard_D4ds_v5",4,16
"Standard_D4pds_v5",4,16
"Standard_D4plds_v5",4,8
"Standard_D4pls_v5",4,8
"Standard_D4ps_v5",4,16
"Standard_D4s_v3",4,16
"Standard_D4s_v4",4,16
"Standard_D4s_v5",4,16
"Standard_D5_v2",16,56
"Standard_D64_v3",64,256
"Standard_D64_v4",64,256
"Standard_D64_v5",64,256
"Standard_D64a_v4",64,256
"Standard_D64ads_v5",64,256
"Standard_D64as_v4",64,256
"Standard_D64as_v5",64,256
"Standard_D64d_v4",64,256
"Standard_D64d_v5",64,256
"Standard_D64ds_v4",64,256
"Standard_D64ds_v5",64,256
"Standard_D64pds_v5",64,208
"Standard_D64plds_v5",64,128
"Standard_D64pls_v5",64,128
"Standard_D64ps_v5",64,208
"Standard_D64s_v3",64,256
"Standard_D64s_v4",64,256
"Standard_D64s_v5",64,256
"Standard_D8_v3",8,32
"Standard_D8_v4",8,32
"Standard_D8_v5",8,32
"Standard_D8a_v4",8,32
"Standard_D8ads_v5",8,32
"Standard_D8as_v4",8,32
"Standard_D8as_v5",8,32
"Standard_D8d_v4",8,32
"Standard_D8d_v5",8,32
"Standard_D8ds_v4",8,32
"Standard_D8ds_v5",8,32
"Standard_D8pds_v5",8,32
"Standard_D8plds_v5",8,16
"Standard_D8pls_v5",8,16
"Standard_D8ps_v5",8,32
"Standard_D8s_v3",8,32
"Standard_D8s_v4",8,32
"Standard_D8s_v5",8,32
"Standard_D96_v5",96,384
"Standard_D96a_v4",96,384
"Standard_D96ads_v5",96,384
"Standard_D96as_v4",96,384
"Standard_D96as_v5",96,384
"Standard_D96d_v5",96,384
"Standard_D96ds_v5",96,384
"Standard_D96s_v5",96,384
"Standard_DC16ads_v5",16,64
"Standard_DC16as_v5",16,64
"Standard_DC16ds_v3",16,128
"Standard_DC16s_v3",16,128
"Standard_DC1ds_v3",1,8
"Standard_DC1s_v2",1,4
"Standard_DC1s_v3",1,8
"Standard_DC24ds_v3",24,192
"Standard_DC24s_v3",24,192
"Standard_DC2ads_v5",2,8
"Standard_DC2as_v5",2,8
"Standard_DC2ds_v3",2,16
"Standard_DC2s",2,8
"Standard_DC2s_v2",2,8
"Standard_DC2s_v3",2,16
"Standard_DC32ads_v5",32,128
"Standard_DC32as_v5",32,128
"Standard_DC32ds_v3",32,256
"Standard_DC32s_v3",32,256
"Standard_DC48ads_v5",48,192
"Standard_DC48as_v5",48,192
"Standard_DC48ds_v3",48,384
"Standard_DC48s_v3",48,384
"Standard_DC4ads_v5",4,16
"Standard_DC4as_v5",4,16
"Standard_DC4ds_v3",4,32
"Standard_DC4s",4,16
"Standard_DC4s_v2",4,16
"Standard_DC4s_v3",4,32
"Standard_DC64ads_v5",64,256
"Standard_DC64as_v5",64,256
"Standard_DC8_v2",8,32
"Standard_DC8ads_v5",8,32
"Standard_DC8as_v5",8,32
"Standard_DC8ds_v3",8,64
"Standard_DC8s_v3",8,64
"Standard_DC96ads_v5",96,384
"Standard_DC96as_v5",96,384
"Standard_DS1",1,3.5
"Standard_DS1_v2",1,3.5
"Standard_DS11",2,14
"Standard_DS11_v2",2,14
"Standard_DS11-1_v2",1,14
"Standard_DS12",4,28
"Standard_DS12_v2",4,28
"Standard_DS12-2_v2",2,28
"Standard_DS13",8,56
"Standard_DS13_v2",8,56
"Standard_DS13-4_v2",4,56
"Standard_DS14",16,112
"Standard_DS14_v2",16,112
"Standard_DS14-4_v2",4,112
"Standard_DS14-8_v2",8,112
"Standard_DS15_v2",20,140
"Standard_DS2",2,7
"Standard_DS2_v2",2,7
"Standard_DS3",4,14
"Standard_DS3_v2",4,14
"Standard_DS4",8,28
"Standard_DS4_v2",8,28
"Standard_DS5_v2",16,56
"Standard_E104i_v5",104,672
"Standard_E104id_v5",104,672
"Standard_E104ids_v5",104,672
"Standard_E104is_v5",104,672
"Standard_E112iads_v5",112,672
"Standard_E112ias_v5",112,672
"Standard_E16_v3",16,128
"Standard_E16_v4",16,128
"Standard_E16_v5",16,128
"Standard_E16-4ads_v5",4,128
"Standard_E16-4as_v4",4,128
"Standard_E16-4as_v5",4,128
"Standard_E16-4ds_v4",4,128
"Standard_E16-4ds_v5",4,128
"Standard_E16-4s_v3",4,128
"Standard_E16-4s_v4",4,128
"Standard_E16-4s_v5",4,128
"Standard_E16-8ads_v5",8,128
"Standard_E16-8as_v4",8,128
"Standard_E16-8as_v5",8,128
"Standard_E16-8ds_v4",8,128
